id,sex,ethgroup,group,age,t_non,t_self,lt_non,lt_self,st_non,st_self,ybro,ysis,obro,osis
P75,female,west asian,group 8_1,19,3.375,4,3.416667,4,3.4375,2,1,2,0,2
P76,female,west asian,group 8_1,19,2.5,2,3.041667,2,2.875,2,0,0,2,0
P77,female,west asian,group 8_1,20,4.375,3,3.583333,1,3.8125,4,1,0,0,0
P78,female,west asian,group 8_1,18,4.625,6,4.916667,5,4.875,4, , , , 
P79,male,west asian,group 0_0,19,4.467532,7,4.380952,4,4.457143,5,0,0,1,0
P80,male,west asian,group 0_0,18.5,3.064935,3,3.285714,1,3.128571,2,0,0,0,0
P81,male,west asian,group 0_0,18,3.25974,3,3.142857,3,3.228571,3,0,0,1,0
P82,male,west asian,group 0_0,18,4.571429,1,4.539683,4,4.542857,4,0,0,0,1
P83,male,west asian,group 0_0,19,3.909091,7,3.857143,5,3.871429,5,0,0,1,0
P84,male,west asian,group 0_0,19,3.935065,4,3.857143,6,3.914286,3,0,0,0,1
P85,male,west asian,group 0_0,18,3.415584,4,3.412698,7,3.385714,3,1,0,0,0
P86,male,west asian,group 0_0,18.5,4.415584,2,4.444444,4,4.428571,4,1,0,0,0
P87,male,white,group 1_0,19,2.625,3,2.6125,5,2.545455,2,0,0,2,0
P88,male,white,group 1_0,17,3.291667,5,3.2875,4,3.295455,4,0,0,1,1
P89,male,white,group 1_0,18,3.302083,4,3.05,5,3.170455,6,0,0,1,0
P90,male,white,group 1_0,19,4.427083,2,4.4,4,4.397727,4,0,1,0,0
P91,male,white,group 1_0,19,4.4375,5,4.45,5,4.477273,5,0,1,0,1
P92,male,white,group 1_0,18,4.375,4,4.4625,4,4.454545,5,1,1,0,0
P93,male,white,group 1_0,19,5.177083,3,5.1625,5,5.159091,3,0,0,1,0
P94,male,white,group 1_0,19,3.875,4,3.9,5,3.897727,3,1,1,0,0
P95,male,white,group 1_0,19,4.177083,5,4.275,5,4.25,3,2,0,0,0
P96,male,white,group 2_0,17,4.410526,5,4.531646,3,4.45977,5,0,1,0,0
P97,male,white,group 2_0,19,4.357895,6,4.151899,5,4.298851,3,0,0,0,1
P98,male,white,group 2_0,18,4.336842,4,4.303797,4,4.344828,4,0,0,0,0
P99,male,white,group 2_0,24,4.114583,2,4.35,4,4.238636,6,1,2,0,0
P100,male,white,group 2_0,19,4.747368,5,4.987342,5,4.873563,2,0,0,0,0
P101,male,white,group 2_0,35,1.463158,4,1.367089,0,1.333333,0,0,1,0,0
P102,male,white,group 2_0,19,4.831579,6,4.860759,7,4.885057,6,1,0,0,0
P103,male,white,group 2_0,19,3.821053,5,3.696203,2,3.816092,4,1,0,0,0
P104,male,white,group 2_0,19,3.936842,6,3.835443,6,3.850575,4,1,0,0,0
P105,male,east asian,group 3_0,18,5.873563,6,5.887324,6,5.898734,7,0,0,0,0
P106,male,east asian,group 3_0,19,5.034483,7,5.070423,6,5.075949,7,1,0,0,0
P107,male,east asian,group 3_0,18,1.287356,3,1.225352,0,1.278481,0,0,0,1,0
P108,male,east asian,group 3_0,23,5.103448,6,5.098592,5,5.063291,1,0,0,0,0
P109,male,east asian,group 3_0,22.5,4.011494,4,4.028169,4,4.050633,5,0,0,0,0
P110,male,east asian,group 3_0,21,2.954023,2,2.802817,1,2.974684,1,2,0,0,0
P111,male,east asian,group 3_0,20,4.482759,4,4.521127,6,4.468354,5,0,1,0,0
P112,male,east asian,group 3_0,19,2.586207,1,2.591549,1,2.56962,1,0,1,0,0
P113,male,east asian,group 3_0,20,4.454545,3,4.444444,7,4.3875,4,0,1,1,0
P114,male,west asian,group 4_0,21,3.831169,7,3.698413,3,3.685714,3,3,1,0,0
P115,male,west asian,group 4_0,25,5.350649,5,5.412698,5,5.471429,3,2,0,0,0
P116,male,west asian,group 4_0,20,4.779221,5,4.857143,6,4.928571,4,0,1,0,0
P117,male,west asian,group 4_0,19,3.519481,4,3.444444,3,3.385714,4,0,2,0,0
P118,male,west asian,group 4_0,19,5,3,5.206349,6,5.171429,4,0,0,1,1
P119,male,west asian,group 4_0,18,5.571429,2,5.619048,7,5.657143,7,0,0,1,1
P120,male,west asian,group 4_0,22,3.272727,3,3.206349,5,3.242857,4,0,1,0,0
P121,male,west asian,group 4_0,19,1.051948,6,0.8253968,1,0.8285714,1,0,0,0,1
P122,male,white,group 5_0,19,4.564706,6,4.661972,7,4.641026,5,0,1,0,0
P123,male,white,group 5_0,18,4.329412,3,4.309859,2,4.346154,5,0,1,0,0
P124,male,white,group 5_0,18,4.482353,5,4.549296,2,4.602564,5,0,1,0,0
P125,male,white,group 5_0,19,4.847059,5,4.760563,6,4.769231,6,0,0,1,1
P126,male,white,group 5_0,18,3.435294,5,3.394366,1,3.410256,3,0,1,1,0
P127,male,white,group 5_0,19,3.576471,7,3.577465,3,3.641026,2,1,2,1,0
P128,male,white,group 5_0,26,2.317647,4,2.267606,2,2.166667,1,1,0,0,0
P129,male,white,group 5_0,18,3.129412,3,3.15493,2,3.166667,1,0,0,1,0
P130,male,black,group 6_0,19,3.4,5,3.488889,1,3.42,0,1,0,0,3
P131,male,black,group 6_0,18,5.2,6,5.355556,7,5.38,8,1,0,0,1
P132,male,black,group 6_0,17,4.8,3,4.822222,3,4.8,4,1,1,0,0
P133,male,black,group 6_0,29,3.327273,6,3.288889,1,3.28,4,2,1,0,0
P134,male,black,group 6_0,18,5.018182,3,5.044444,0,5.06,2,0,1,0,0
P135,male,black,group 6_0,19,4.327273,2,4.444444,4,4.38,3,0,0,0,1
P136,male,east asian,group 7_0,29.5,4.494253,3,4.5,4,4.481013,3,1,0,0,0
P137,male,east asian,group 7_0,19,3.494253,3,3.319444,3,3.582278,6,0,1,0,1
P138,male,east asian,group 7_0,20,4.632184,6,4.708333,3,4.620253,3,0,0,0,0
P139,male,east asian,group 7_0,18,3.712644,3,3.708333,4,3.670886,0,1,0,1,0
P140,male,white,group 8_0,23,3.549451,5,3.526316,3,3.53012,4,0,1,0,0
P141,male,white,group 8_0,19,4.725275,5,4.763158,6,4.807229,5,0,1,1,0
P142,male,white,group 8_0,18,5.043956,6,5,2,5.024096,4,1,0,0,1
P143,male,white,group 8_0,19,4.384615,4,4.407895,5,4.433735,4,0,0,1,0
P144,male,white,group 8_0,19,3.395604,5,3.381579,3,3.289157,0,1,1,0,0
